trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
973,False,"{'a': 0.005, 'e': 0.007673365287895489}",20,6,23.028174444048656,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.005, 'e': 0.007635094218859962}",20,14,12.03460032474118,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.005, 'e': 0.007597014027577568}",20,13,11.718981213515072,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.005, 'e': 0.007559123762041541}",25,10,25.572660608722373,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.005, 'e': 0.00752142247499327}",25,13,24.27430219024265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
978,False,"{'a': 0.005, 'e': 0.007483909223898608}",35,21,25.68154018125722,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
979,False,"{'a': 0.005, 'e': 0.007446583070924338}",25,11,23.78028742039262,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
980,False,"{'a': 0.005, 'e': 0.007409443082914684}",20,13,9.378239838021784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
981,False,"{'a': 0.005, 'e': 0.007372488331368012}",20,13,15.312636145434288,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
982,False,"{'a': 0.005, 'e': 0.007335717892413608}",30,13,30.02684987910152,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.005, 'e': 0.007299130846788583}",20,13,12.286531218939265,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.005, 'e': 0.0072627262798148915}",20,14,11.411356833531194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.005, 'e': 0.0072265032813764625}",20,4,24.405494089864856,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.005, 'e': 0.007190460945896442}",20,0,28.209012336220727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
987,False,"{'a': 0.005, 'e': 0.007154598372314579}",25,4,31.305561891382645,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
